molecule_chembl_id,pchembl_value,smiles,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
CHEMBL2386094,10.89,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCOCC2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44EB0>,514.165248056,6,1,3.361600000000002,yes
CHEMBL3895998,10.0,Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44900>,407.18698654400004,7,3,2.4397,yes
CHEMBL4084855,10.0,COc1ccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44F20>,392.196074008,8,0,1.9609999999999996,yes
CHEMBL564450,9.85,COc1cc(C2=C(c3cn(CCN4CCN(C)CC4)c4ccccc34)C(=O)NC2=O)c2occc2c1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44DD0>,484.21105537599993,7,1,3.210700000000001,yes
CHEMBL4063206,9.7,COc1cccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB447B0>,392.196074008,8,0,1.961,yes
CHEMBL2386090,9.7,O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)c2cnccn2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44350>,489.14370408800005,7,1,3.4007000000000014,yes
CHEMBL3963605,9.7,Nc1ncc(-c2ccccc2)nc1C(=O)Nc1cnccc1N1CCC(N)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44E40>,389.19640835600006,7,3,2.3006,yes
CHEMBL4077376,9.7,C[C@@H]1CN(c2ccccc2F)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44510>,380.17608751200004,7,0,2.0915,yes
CHEMBL3942619,9.7,COc1ccc(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC(N)CC3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44F90>,419.2069730400001,8,3,2.3091999999999997,yes
CHEMBL3957649,9.7,Nc1ncc(-c2ccccc2F)nc1C(=O)Nc1cnccc1N1CCNCC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44C80>,393.17133648000004,7,3,1.9217999999999995,yes
CHEMBL2177173,9.66,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cnccc4CN4CCCC4)n3)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44A50>,536.2318078840001,9,2,1.9049999999999996,yes
CHEMBL491647,9.64,COCc1cccc2c(C3=C(c4coc5ccccc45)C(=O)NC3=O)cn(C)c12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44AC0>,386.126657056,5,1,3.6381000000000023,yes
CHEMBL3091542,9.64,COc1cccc(OC)c1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44C10>,409.175004216,9,0,1.8323999999999998,yes
CHEMBL4076186,9.6,COc1cc(F)ccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB44B30>,396.17100213200007,8,1,1.5358999999999994,yes
CHEMBL3410091,9.54,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCC1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47F20>,358.109961436,6,2,2.441300000000001,yes
CHEMBL181031,9.52,O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47820>,495.20188766000007,7,1,2.6727000000000007,yes
CHEMBL477038,9.46,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47F90>,390.10158518000003,5,2,3.123100000000001,yes
CHEMBL3410092,9.43,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OC1CCC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47190>,358.109961436,6,2,2.583800000000001,yes
CHEMBL2177163,9.4,Nc1ncc(-c2ccc(S(=O)(=O)N3CCCCC3)cc2)nc1C(=O)Nc1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47510>,438.14740956400004,7,2,2.5477000000000007,yes
CHEMBL1088011,9.4,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(Cl)c2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47970>,358.08326802,6,2,2.659200000000001,yes
CHEMBL1088145,9.4,COc1cccc(N/N=C2\C(=O)NN=C2c2ccc(OC)c(OC)c2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47AC0>,354.13280505599994,7,2,2.0143999999999997,yes
CHEMBL1082153,9.4,Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(Cl)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47C10>,425.11423379999997,6,4,2.1639999999999997,yes
CHEMBL4087402,9.4,COc1cc(F)ccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47430>,395.175753164,7,1,2.1408999999999994,yes
CHEMBL4076060,9.4,C[C@@H]1CN(c2ccc(F)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47A50>,380.17608751200004,7,0,2.0915,yes
CHEMBL3410090,9.35,CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47580>,346.109961436,6,2,2.4396999999999998,yes
CHEMBL2182002,9.34,Cc1cc(S(=O)(=O)N2CCN(C)CC2)ccc1-c1cnc(N)c(C(=O)Nc2cccnc2)n1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47890>,467.17395866000015,8,2,1.6176199999999992,yes
CHEMBL3091541,9.33,COc1cc(F)ccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB472E0>,397.15501772,8,0,1.9628999999999992,yes
CHEMBL2177174,9.32,CN(C)Cc1ccncc1NC(=O)c1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cnc1N,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47E40>,481.18960872400004,8,2,2.2192000000000003,yes
CHEMBL4095848,9.3,C[C@@H]1CN(c2cccc(F)c2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47900>,380.17608751200004,7,0,2.0915,yes
CHEMBL4468662,9.29,COc1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCc4ccncc4)cc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB47EB0>,384.15862588,4,2,3.9631000000000016,yes
CHEMBL489833,9.29,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(Br)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB40A50>,450.02151906,5,2,3.746500000000002,yes
CHEMBL2386093,9.28,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCC(N4CCCCC4)CC2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB40350>,595.259482788,6,1,4.979700000000005,yes
CHEMBL1080901,9.25,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB40660>,485.08822614400003,9,4,4.249900000000001,yes
CHEMBL1940976,9.24,C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB40510>,394.15535206800007,8,3,2.4668799999999997,yes
CHEMBL2386091,9.23,O=C1NC(=O)C(c2cn3c4c(cccc24)CN(C(=O)Cc2ccncc2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB40040>,502.164105184,6,1,3.9346000000000023,yes
CHEMBL3185148,9.22,Nc1nc(NCCNc2ncc(-n3ccnc3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB406D0>,485.08822614400003,10,3,4.045500000000001,yes
CHEMBL1940990,9.22,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB40200>,393.1601031,7,2,2.9875800000000003,yes
CHEMBL1082152,9.22,Cn1cc(C2=C(c3cccc(NCC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8AEB30>,409.14378433999997,6,4,1.6496999999999997,yes
CHEMBL3091544,9.19,Cn1c(N2CCO[C@@H](c3c(F)cccc3Cl)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8AE510>,401.10548068400004,7,0,2.6077000000000004,yes
CHEMBL2177165,9.17,Nc1ncc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)nc1C(=O)Nc1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8AE580>,440.1266741200001,8,2,1.393999999999999,yes
CHEMBL270265,9.15,CCCC1=C(c2nnc(C)o2)C(c2cccc(C#N)c2Br)c2c[nH]nc2N1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8C5D60>,424.06472126400007,6,2,4.504100000000003,yes
CHEMBL4802108,9.14,CCCn1cnc(C2C=C(C3=C(c4noc5ccccc45)C(=O)NC3=O)c3ccccc32)c1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8C5820>,436.15354049999996,6,1,4.073400000000002,yes
CHEMBL4084151,9.14,O=C1NC(=O)C(c2cn(CCC3N=CC=N3)c3ccccc23)=C1c1noc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8A3430>,423.133139404,7,1,3.2211000000000007,yes
CHEMBL490636,9.14,COCc1cccc2c(C3=C(c4coc5cc(CO)ccc45)C(=O)NC3=O)cn(C)c12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8A3E40>,416.13722174,6,2,3.1304000000000025,yes
CHEMBL4758595,9.11,COc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4C[C@@H](C#N)[C@@H]4C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8A3B30>,438.2015533120001,7,2,2.6110800000000003,yes
CHEMBL4065818,9.1,COc1ccccc1N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8A3040>,392.196074008,8,0,1.9609999999999996,yes
CHEMBL260417,9.1,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBA8A3F90>,372.022187756,4,3,3.4415000000000004,yes
CHEMBL260138,9.1,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB5A350>,346.10659030799997,4,2,3.693880000000002,yes
CHEMBL4856177,9.1,CC(C)c1c2cc(-c3ccnc(Nc4ccc5c(N6CCN(C)CC6)ccnc5c4)n3)ccc2nn1C,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB5A200>,492.27499302400014,8,1,5.197300000000004,yes
CHEMBL1080902,9.1,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(OC)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB5A120>,324.12224037199996,6,2,2.0058,yes
CHEMBL3410111,9.08,CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)ncc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB5A890>,341.148789468,6,2,1.7731999999999997,yes
CHEMBL1940981,9.07,C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB5A580>,382.15535206800007,8,2,2.24658,yes
CHEMBL3091540,9.06,COc1ccccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27200>,379.164439532,8,0,1.8237999999999996,yes
CHEMBL2386272,9.06,Cn1cc(C2=C(c3cnc4ccccn34)C(=O)NC2=O)c2cc(Br)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27120>,420.022187756,5,1,3.1557000000000013,yes
CHEMBL4764153,9.02,COc1ccc(CC(=O)Nc2cc([C@@H]3CC[C@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27040>,427.2219544080001,6,2,3.251500000000002,yes
CHEMBL522590,9.02,Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)c(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB270B0>,424.062612828,5,2,3.776500000000002,yes
CHEMBL1082151,9.0,Cn1cc(C2=C(c3cccc(NCCCO)c3)C(=O)NC2=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27270>,375.15829153199996,5,3,2.5398000000000005,yes
CHEMBL3943813,9.0,Nc1ncc(-c2ccccc2)nc1C(=O)Nc1ccccc1N1CCC(N)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB272E0>,388.20115938800006,6,3,2.9056000000000006,yes
CHEMBL2177177,9.0,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4ncns4)n3)cc2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27350>,460.10997850000007,10,2,0.7656999999999993,yes
CHEMBL261129,9.0,CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB273C0>,429.08003698000005,5,3,3.3733000000000013,yes
CHEMBL1940986,9.0,C[C@H]1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27430>,382.15535206800007,8,2,2.24658,yes
CHEMBL2048663,9.0,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccoc4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB274A0>,439.1314251520001,6,3,2.952000000000001,yes
CHEMBL260664,9.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27510>,328.072703336,4,3,3.3324000000000007,yes
CHEMBL1957949,9.0,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27580>,468.12675437200005,5,4,3.4186000000000014,yes
CHEMBL495727,9.0,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB275F0>,381.1913229760001,5,4,2.0690999999999997,yes
CHEMBL362558,8.96,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27660>,512.19721688,6,1,3.416800000000002,yes
CHEMBL4165510,8.96,O=CN1Cc2cc(F)cc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB276D0>,512.19721688,7,1,2.7793,yes
CHEMBL3410089,8.96,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27740>,318.078661308,6,2,1.6610999999999998,yes
CHEMBL2177155,8.96,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)c(C(F)(F)F)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB277B0>,521.1456932240001,8,2,2.3279999999999994,yes
CHEMBL4067532,8.96,Cn1c(N2CCNC(c3cccc(Cl)c3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27820>,382.13088690800004,7,1,2.0416,yes
CHEMBL490842,8.92,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cccc(CCC(=O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27890>,414.121571676,5,2,3.5089000000000006,yes
CHEMBL4077048,8.92,C[C@@H]1CN(c2ccc(Cl)cc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27900>,396.14653697200004,7,0,2.6057999999999995,yes
CHEMBL4105346,8.92,Cn1c(N2CCN[C@@H](c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27970>,382.13088690800004,7,1,2.0416,yes
CHEMBL4744945,8.9,COc1ccc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4CCC4(C)C)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB279E0>,427.2219544080001,6,2,3.251500000000002,yes
CHEMBL4164416,8.89,CC(C)OC1Cn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)CN1C=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27A50>,469.175004216,7,1,2.579300000000001,yes
CHEMBL2182001,8.89,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)c(F)c2)CC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27AC0>,471.148886784,8,2,1.448299999999999,yes
